Name,Budget,Box Office,Profit
Avengers: Endgame,356000000,2799439100,2443439100
Avengers: Infinity War,321000000,2052415039,1731415039
Spider-Man: No Way Home,200000000,1921847111,1721847111
Top Gun: Maverick,170000000,1488732821,1318732821
Harry Potter and the Deathly Hallows: Part 2,125000000,1342359942,1217359942
The Lord of the Rings: The Return of the King,94000000,1146457748,1052457748
Jurassic Park,63000000,1109802321,1046802321
Joker,55000000,1074458282,1019458282
The Lion King,45000000,968511805,923511805
Toy Story 3,200000000,1067316101,867316101